title,pmid,doi,abstract,year,authors
Ancestral polymorphisms in Drosophila pseudoobscura and Drosophila miranda,21767458,10.1017/S0016672311000206,"Ancestral polymorphisms are defined as variants that arose by mutation prior to the speciation event that generated the species in which they segregate. Their presence may complicate the interpretation of molecular data and lead to incorrect phylogenetic inferences. They may also be used to identify regions of the genome that are under balancing selection. It is thus important to take into account the contribution of ancestral polymorphisms to variability within species and divergence between species. Here, we extend and improve a method for estimation of the proportion of ancestral polymorphisms within a species, and apply it to a dataset of 33 X-linked and 34 autosomal protein-coding genes for which sequence polymorphism data are available in both Drosophila pseudoobscura and Drosophila miranda, using Drosophila affinis as an outgroup. We show that a substantial proportion of both X-linked and autosomal synonymous variants in these two species are ancestral, and that a small number of additional genes with unusually high sequence diversity seem to have an excess of ancestral polymorphisms, suggestive of balancing selection.",2011,"Reuben W Nowell, Penelope R Haddrill, Brian Charlesworth"
Sticky/Citron kinase maintains proper RhoA localization at the cleavage site during cytokinesis,22084308,10.1083/jcb.201105136,"In many organisms, the small guanosine triphosphatase RhoA controls assembly and contraction of the actomyosin ring during cytokinesis by activating different effectors. Although the role of some RhoA effectors like formins and Rho kinase is reasonably understood, the functions of another putative effector, Citron kinase (CIT-K), are still debated. In this paper, we show that, contrary to previous models, the Drosophila melanogaster CIT-K orthologue Sticky (Sti) does not require interaction with RhoA to localize to the cleavage site. Instead, RhoA fails to form a compact ring in late cytokinesis after Sti depletion, and this function requires Sti kinase activity. Moreover, we found that the Sti Citron-Nik1 homology domain interacts with RhoA regardless of its status, indicating that Sti is not a canonical RhoA effector. Finally, Sti depletion caused an increase of phosphorylated myosin regulatory light chain at the cleavage site in late cytokinesis. We propose that Sti/CIT-K maintains correct RhoA localization at the cleavage site, which is necessary for proper RhoA activity and contractile ring dynamics.",2011,"Koen J Verbrugghe, Zuni I Bassi, Pier Paolo D'Avino, David M Glover, Luisa Capalbo, Stephen Gregory, Emilie Montembault"
Spinster controls Dpp signaling during glial migration in the Drosophila eye,21562262,10.1523/JNEUROSCI.0459-11.2011,"The development of multicellular organisms requires the well balanced and coordinated migration of many cell types. This is of particular importance within the developing nervous system, where glial cells often move long distances to reach their targets. The majority of glial cells in the peripheral nervous system of the Drosophila embryo is derived from the CNS and migrates along motor axons toward their targets. In the developing Drosophila eye, CNS-derived glial cells move outward toward the nascent photoreceptor cells, but the molecular mechanisms coupling the migration of glial cells with the growth of the eye imaginal disc are mostly unknown. Here, we used an enhancer trap approach to identify the gene spinster, which encodes a multipass transmembrane protein involved in endosome-lysosome trafficking, as being expressed in many glial cells. spinster mutants are characterized by glial overmigration. Genetic experiments demonstrate that Spinster modulates the activity of several signaling cascades. Within the migrating perineurial glial cells, Spinster is required to downregulate Dpp (Decapentaplegic) signaling activity, which ceases migratory abilities. In addition, Spinster affects the growth of the carpet cell, which indirectly modulates glial migration.",2011,"Christian Klämbt, Yeliz Yuva-Aydemir, Ann-Christin Bauke"
"Remarkable expression in the colon adenocarcinoma of Hmat-Xa, a human mannosyltransferase-like gene, that is homologous to drosophila gene GC15914",21821951,10.1271/bbb.110124,"We cloned a novel human mannosyltransferase-like gene, designated Hmat-Xa, as a gene homologous to the Drosophila GC15914 gene encoding the 9QVXN0 protein: see ""Project Report for FY2002 on the 'Construction of Libraries of Human Genes Participating in Glycosylation' project"" 43-45 (2003), New Energy and Industrial Technology Development Organization (NEDO), NEDO and Research Association for Biotechnology, Tokyo, Japan (in Japanese). After that, the GTDC1 gene, as reported by Zhao et al., DNA Cell Biol., 23, 183-187 (2004), was found to be the same as the Hmat-Xa gene. Domain EXFGI/L/VX(2)L/VE in the Hmat-Xa protein, also present in both human mannosyltransferase II/III and mannosyltransferase IV/V, which are involved in the synthesis of lipid-linked oligosaccharides, and some bacterial mannosyltransferases. A real-time PCR study of Hmat-Xa mRNA expression in human normal and tumor multiple tissue cDNA identified its tissue-specific expression and its remarkable expression in colon adenocarcinoma as compared to the normal counterpart. Thus the elevated expression of Hmat-Xa might serve as a candidate marker for colon adenocarcinoma.",2011,"Yoshihisa Nishikawa, Yuuki Nishimura, Hiroshi Kamiguchi, Nanae Shimono"
Cardiomyopathy is associated with ribosomal protein gene haplo-insufficiency in Drosophila melanogaster,21890737,10.1534/genetics.111.131482,"The Minute syndrome in Drosophila melanogaster is characterized by delayed development, poor fertility, and short slender bristles. Many Minute loci correspond to disruptions of genes for cytoplasmic ribosomal proteins, and therefore the phenotype has been attributed to alterations in translational processes. Although protein translation is crucial for all cells in an organism, it is unclear why Minute mutations cause effects in specific tissues. To determine whether the heart is sensitive to haplo-insufficiency of genes encoding ribosomal proteins, we measured heart function of Minute mutants using optical coherence tomography. We found that cardiomyopathy is associated with the Minute syndrome caused by haplo-insufficiency of genes encoding cytoplasmic ribosomal proteins. While mutations of genes encoding non-Minute cytoplasmic ribosomal proteins are homozygous lethal, heterozygous deficiencies spanning these non-Minute genes did not cause a change in cardiac function. Deficiencies of genes for non-Minute mitochondrial ribosomal proteins also did not show abnormal cardiac function, with the exception of a heterozygous disruption of mRpS33. We demonstrate that cardiomyopathy is a common trait of the Minute syndrome caused by haplo-insufficiency of genes encoding cytoplasmic ribosomal proteins. In contrast, most cases of heterozygous deficiencies of genes encoding non-Minute ribosomal proteins have normal heart function in adult Drosophila.",2011,"Brian Dong, Il-Man Kim, Howard A Rockman, Stephan Frangakis, Matthew J Wolf, Dennis Abraham, Michelle E Casad, Na Lin"
Analysis of a Drosophila amplicon in follicle cells highlights the diversity of metazoan replication origins,21933960,10.1073/pnas.1114209108,"To investigate the properties of metazoan replication origins, recent studies in cell culture have adopted the strategy of identifying origins using genome-wide approaches and assessing correlations with such features as transcription and histone modifications. Drosophila amplicon in follicle cells (DAFCs), genomic regions that undergo repeated rounds of DNA replication to increase DNA copy number, serve as powerful in vivo model replicons. Because there are six DAFCs, compared with thousands of origins activated in the typical S phase, close molecular characterization of all DAFCs is possible. To determine the extent to which the six DAFCs are different or similar, we investigated the developmental and replication properties of the newly identified DAFC-34B. DAFC-34B contains two genes expressed in follicle cells, although the timing and spatial patterns of expression suggest that amplification is not a strategy to promote high expression at this locus. Like the previously characterized DAFC-62D, DAFC-34B displays origin activation at two separate stages of development. However, unlike DAFC-62D, amplification at the later stage is not transcription-dependent. We mapped the DAFC-34B amplification origin to 1 kb by nascent strand analysis and delineated cis requirements for origin activation, finding that a 6-kb region, but not the 1-kb origin alone, is sufficient for amplification. We analyzed the developmental localization of the origin recognition complex (ORC) and the minichromosome maintenance (MCM)2-7 complex, the replicative helicase. Intriguingly, the final round of origin activation at DAFC-34B occurs in the absence of detectable ORC, although MCMs are present, suggesting a new amplification initiation mechanism.",2011,"Terry L Orr-Weaver, Jane C Kim"
Semaphorin-1a is required for Aedes aegypti embryonic nerve cord development,21738767,10.1371/journal.pone.0021694,"Although mosquito genome projects have uncovered orthologues of many known developmental regulatory genes, extremely little is known about mosquito development. In this study, the role of semaphorin-1a (sema1a) was investigated during vector mosquito embryonic ventral nerve cord development. Expression of sema1a and the plexin A (plexA) receptor are detected in the embryonic ventral nerve cords of Aedes aegypti (dengue vector) and Anopheles gambiae (malaria vector), suggesting that Sema1a signaling may regulate mosquito nervous system development. Analysis of sema1a function was investigated through siRNA-mediated knockdown in A. aegypti embryos. Knockdown of sema1a during A. aegypti development results in a number of nerve cord phenotypes, including thinning, breakage, and occasional fusion of the longitudinal connectives, thin or absent commissures, and general distortion of the nerve cord. Although analysis of Drosophila melanogaster sema1a loss-of-function mutants uncovered many similar phenotypes, aspects of the longitudinal phenotypes differed between D. melanogaster and A. aegypti. The results of this investigation suggest that Sema1a is required for development of the insect ventral nerve cord, but that the developmental roles of this guidance molecule have diverged in dipteran insects.",2011,"Akio Mori, Morgan Haugen, Ellen Flannery, Michael Tomchaney, Molly Duman-Scheel, Susanta K Behura, David W Severson"
GiSAO.db: a database for ageing research,21609420,10.1186/1471-2164-12-262,"Background: Age-related gene expression patterns of Homo sapiens as well as of model organisms such as Mus musculus, Saccharomyces cerevisiae, Caenorhabditis elegans and Drosophila melanogaster are a basis for understanding the genetic mechanisms of ageing. For an effective analysis and interpretation of expression profiles it is necessary to store and manage huge amounts of data in an organized way, so that these data can be accessed and processed easily. Description: GiSAO.db (Genes involved in senescence, apoptosis and oxidative stress database) is a web-based database system for storing and retrieving ageing-related experimental data. Expression data of genes and miRNAs, annotation data like gene identifiers and GO terms, orthologs data and data of follow-up experiments are stored in the database. A user-friendly web application provides access to the stored data. KEGG pathways were incorporated and links to external databases augment the information in GiSAO.db. Search functions facilitate retrieval of data which can also be exported for further processing. Conclusions: We have developed a centralized database that is very well suited for the management of data for ageing research. The database can be accessed at https://gisao.genome.tugraz.at and all the stored data can be viewed with a guest account.",2011,"Johannes Grillari, Pidder Jansen-Dürr, Gerhard G Thallinger, Matthias Hackl, Günter Lepperdinger, Edith Hofer, Gerhard T Laschober, Zlatko Trajanoski"
Modes of metabolic compensation during mitochondrial disease using the Drosophila model of ATP6 dysfunction,21991365,10.1371/journal.pone.0025823,"Numerous mitochondrial DNA mutations cause mitochondrial encephalomyopathy: a collection of related diseases for which there exists no effective treatment. Mitochondrial encephalomyopathies are complex multisystem diseases that exhibit a relentless progression of severity, making them both difficult to treat and study. The pathogenic and compensatory metabolic changes that are associated with chronic mitochondrial dysfunction are not well understood. The Drosophila ATP6(1) mutant models human mitochondrial encephalomyopathy and allows the study of metabolic changes and compensation that occur throughout the lifetime of an affected animal. ATP6(1)animals have a nearly complete loss of ATP synthase activity and an acute bioenergetic deficit when they are asymptomatic, but surprisingly we discovered no chronic bioenergetic deficit in these animals during their symptomatic period. Our data demonstrate dynamic metabolic compensatory mechanisms that sustain normal energy availability and activity despite chronic mitochondrial complex V dysfunction resulting from an endogenous mutation in the mitochondrial DNA. ATP6(1)animals compensate for their loss of oxidative phosphorylation through increases in glycolytic flux, ketogenesis and Kreb's cycle activity early during pathogenesis. However, succinate dehydrogenase activity is reduced and mitochondrial supercomplex formation is severely disrupted contributing to the pathogenesis seen in ATP6(1) animals. These studies demonstrate the dynamic nature of metabolic compensatory mechanisms and emphasize the need for time course studies in tractable animal systems to elucidate disease pathogenesis and novel therapeutic avenues.",2011,"Michael J Palladino, Wayne Van Voorhies, Alicia M Celotto, Wai Kan Chiu"
Vesicle trafficking: a Rab family profile,22032185,10.1016/j.cub.2011.08.061,A new tool-kit has been developed for profiling expression and function of Rab GTPases on a genome-wide scale. Use of this tool-kit has revealed unexpectedly that at least half of Drosophila Rabs have neuronal-specific expression patterns and localize to synapses.,2011,"Kathryn P Harris, J Troy Littleton"
