title,pmid,doi,abstract,year,authors
"Notch signaling in intestinal homeostasis across species: the cases of Drosophila, Zebrafish and the mouse",21745469,10.1016/j.yexcr.2011.06.012,"Notch signaling has been recently shown to have a fundamental role in stem cell maintenance and control of proper homeostasis in the intestine of different species. Here, we briefly review the current literature on Notch signals in the intestine of Drosophila, Zebrafish and the mouse, and try to highlight conserved and divergent Notch functions across species. Notch signals show a remarkably conserved role in skewing cell fate choices in intestinal lineages throughout evolution. Genetic analysis demonstrates that loss of Notch signaling invariably leads to increased numbers of secretory cells and loss of enterocytes, while gain of Notch function will completely block secretory cell differentiation. Finally, we discuss the potential contribution of Notch signaling to the initiation of colorectal cancer by controlling the maintenance of the undifferentiated state of intestinal neoplastic cells and speculate on the therapeutic consequences of affecting cancer stem cells.",2011,"Allison Bardin, Silvia Fre, Sylvie Robine, Daniel Louvard"
Cullin-5 and cullin-2 play a role in the development of neuromuscular junction and the female germ line of Drosophila,21869472,10.1007/s12041-011-0062-1,"Cullins confer substrate specificity to E3-ligases which are multi-protein complexes involved in ubiquitin-mediated protein degradation or modification. There are six cullin genes in Drosophila melanogaster. We have raised an antibody against Cul-5 and demonstrated that it expresses in neuronal and non-neuronal cells throughout development. In the embryonic tracheal system, Cul-5 is enriched at fusion sites together with E-Cadherin and Fasciclin III. Mutations of cul-5 do not affect tracheal development but do show defects in the organization of synaptic boutons at the larval neuromuscular junction where the protein is expressed in a subset of motoneuron terminals. Loss of function of another cullin gene 'cul-2' results in similar defects at the larval neuromuscular junction although cul-2;cul-5 double mutants do not show an enhanced phenotype. Both cul-2 and cul-5 mutants show similar aberrations in the development of female germ line. Our results suggest that both of these cullin proteins participate in similar developmental processes.",2011,Champakali Ayyub
Basidiomycete Clitocybe nebularis is rich in lectins with insecticidal activities,21556921,10.1007/s00253-011-3236-0,"Basidiomycete mushrooms are a rich source of unique substances, including lectins, that could potentially be useful in biotechnology or biomedical applications. Lectins are a group of carbohydrate-binding proteins with diverse biological activities and functions. Here, we demonstrate the presence of a number of lectins in the basidiomycete mushroom Clitocybe nebularis. Glucose-, galactose-, sucrose-, lactose-, and Sepharose-binding lectins were isolated from fruiting bodies using affinity chromatography on Sepharose-immobilized sugars or on Sepharose. The lectins were characterized biochemically and their binding specificities examined by agglutination and agglutination inhibition assays. In addition, insecticidal and anti-nutritional properties of the lectins were studied against a model organism, fruit fly (Drosophila melanogaster), and Colorado potato beetle (Leptinotarsa decemlineata). Of the several basidiomycete mushrooms screened, C. nebularis extract showed the most potent insecticidal activity. Sucrose-binding lectin showed the strongest activity against D. melanogaster, followed by lactose- and galactose-binding lectins. Feeding bioassays with Colorado potato beetle revealed that C. nebularis extract exhibited high anti-nutritional activity against the insect; and of those tested, only lactose-binding lectin, named CNL showed the effect. Mushroom C. nebularis is shown to be rich in a variety of lectins with versatile biological activities, including insecticidal and anti-nutritional effects. C. nebularis lectins could thus have potential for use as natural insecticides.",2011,"Andrej Cokl, Borut Strukelj, Jure Pohleven, Jerica Sabotič, Lara Vrabec, Jože Brzin, Adrijana Leonardi, Janko Kos"
SWI/SNF regulates the alternative processing of a specific subset of pre-mRNAs in Drosophila melanogaster,22047075,10.1186/1471-2199-12-46,"Background: The SWI/SNF chromatin remodeling factors have the ability to remodel nucleosomes and play essential roles in key developmental processes. SWI/SNF complexes contain one subunit with ATPase activity, which in Drosophila melanogaster is called Brahma (Brm). The regulatory activities of SWI/SNF have been attributed to its influence on chromatin structure and transcription regulation, but recent observations have revealed that the levels of Brm affect the relative abundances of transcripts that are formed by alternative splicing and/or polyadenylation of the same pre-mRNA. Results: We have investigated whether the function of Brm in pre-mRNA processing in Drosophila melanogaster is mediated by Brm alone or by the SWI/SNF complex. We have analyzed the effects of depleting individual SWI/SNF subunits on pre-mRNA processing throughout the genome, and we have identified a subset of transcripts that are affected by depletion of the SWI/SNF core subunits Brm, Snr1 or Mor. The fact that depletion of different subunits targets a subset of common transcripts suggests that the SWI/SNF complex is responsible for the effects observed on pre-mRNA processing when knocking down Brm. We have also depleted Brm in larvae and we have shown that the levels of SWI/SNF affect the pre-mRNA processing outcome in vivo. Conclusions: We have shown that SWI/SNF can modulate alternative pre-mRNA processing, not only in cultured cells but also in vivo. The effect is restricted to and specific for a subset of transcripts. Our results provide novel insights into the mechanisms by which SWI/SNF regulates transcript diversity and proteomic diversity in higher eukaryotes.",2011,"Zhi Wang, Ulrich Theopold, David Brodin, Neus Visa, Simei Yu, Ann Kristin Östlund Farrants, Anu Tyagi, Johan Waldholm"
Long tract of untranslated CAG repeats is deleterious in transgenic mice,21283659,10.1371/journal.pone.0016417,"The most frequent trinucleotide repeat found in human disorders is the CAG sequence. Expansion of CAG repeats is mostly found in coding regions and is thought to cause diseases through a protein mechanism. Recently, expanded CAG repeats were shown to induce toxicity at the RNA level in Drosophila and C. elegans. These findings raise the possibility that CAG repeats may trigger RNA-mediated pathogenesis in mammals. Here, we demonstrate that transgenic mice expressing EGFP transcripts with long CAG repeats in the 3' untranslated region develop pathogenic features. Expression of the transgene was directed to the muscle in order to compare the resulting phenotype to that caused by the CUG expansion, as occurs in myotonic dystrophy. Transgenic mice expressing 200, but not those expressing 0 or 23 CAG repeats, showed alterations in muscle morphology, histochemistry and electrophysiology, as well as abnormal behavioral phenotypes. Expression of the expanded CAG repeats in testes resulted in reduced fertility due to defective sperm motility. The production of EGFP protein was significantly reduced by the 200 CAG repeats, and no polyglutamine-containing product was detected, which argues against a protein mechanism. Moreover, nuclear RNA foci were detected for the long CAG repeats. These data support the notion that expanded CAG repeat RNA can cause deleterious effects in mammals. They also suggest the possible involvement of an RNA mechanism in human diseases with long CAG repeats.",2011,"Chui-Yen Li, Min-Jon Lin, Huichin Pan, Luen-Kui Chen, Li-Chun Wang, Kuang-Ming Hsiao, Ren-Jun Hsu"
Drosophila as a model of wound healing and tissue regeneration in vertebrates,21953647,10.1002/dvdy.22753,"Understanding the molecular basis of wound healing and regeneration in vertebrates is one of the main challenges in biology and medicine. This understanding will lead to medical advances allowing accelerated tissue repair after wounding, rebuilding new tissues/organs and restoring homeostasis. Drosophila has emerged as a valuable model for studying these processes because the genetic networks and cytoskeletal machinery involved in epithelial movements occurring during embryonic dorsal closure, larval imaginal disc fusion/regeneration, and epithelial repair are similar to those acting during wound healing and regeneration in vertebrates. Recent studies have also focused on the use of Drosophila adult stem cells to maintain tissue homeostasis. Here, we review how Drosophila has contributed to our understanding of these processes, primarily through live-imaging and genetic tools that are impractical in mammals. Furthermore, we highlight future research areas where this insect may provide novel insights and potential therapeutic strategies for wound healing and regeneration.",2011,"Nuria Paricio, Yaiza Belacortu"
Fluorescent fusion protein knockout mediated by anti-GFP nanobody,22157958,10.1038/nsmb.2180,"The use of genetic mutations to study protein functions in vivo is a central paradigm of modern biology. Recent advances in reverse genetics such as RNA interference and morpholinos are widely used to further apply this paradigm. Nevertheless, such systems act upstream of the proteic level, and protein depletion depends on the turnover rate of the existing target proteins. Here we present deGradFP, a genetically encoded method for direct and fast depletion of target green fluorescent protein (GFP) fusions in any eukaryotic genetic system. This method is universal because it relies on an evolutionarily highly conserved eukaryotic function, the ubiquitin pathway. It is traceable, because the GFP tag can be used to monitor the protein knockout. In many cases, it is a ready-to-use solution, as GFP protein-trap stock collections are being generated in Drosophila melanogaster and in Danio rerio.",2011,"Oguz Kanca, Emmanuel Caussinus, Markus Affolter"
"Inheritance of stress-induced, ATF-2-dependent epigenetic change",21703449,10.1016/j.cell.2011.05.029,"Atf1, the fission yeast homolog of activation transcription factor-2 (ATF-2), contributes to heterochromatin formation. However, the role of ATF-2 in chromatin assembly in higher organisms remains unknown. This study reveals that Drosophila ATF-2 (dATF-2) is required for heterochromatin assembly, whereas the stress-induced phosphorylation of dATF-2, via Mekk1-p38, disrupts heterochromatin. The dATF-2 protein colocalized with HP1, not only on heterochromatin but also at specific loci in euchromatin. Heat shock or osmotic stress induced phosphorylation of dATF-2 and resulted in its release from heterochromatin. This heterochromatic disruption was an epigenetic event that was transmitted to the next generation in a non-Mendelian fashion. When embryos were exposed to heat stress over multiple generations, the defective chromatin state was maintained over multiple successive generations, though it gradually returned to the normal state. The results suggest a mechanism by which the effects of stress are inherited epigenetically via the regulation of a tight chromatin structure.",2011,"Ki-Hyeon Seong, Dong Li, Shunsuke Ishii, Ryoichi Nakamura, Hideyuki Shimizu"
Phosphoinositide-3-kinase activation controls synaptogenesis and spinogenesis in hippocampal neurons,21414895,10.1523/JNEUROSCI.4477-10.2011,"The possibility of changing the number of synapses may be an important asset in the treatment of neurological diseases. In this context, the synaptogenic role of the phosphoinositide-3-kinase (PI3K) signaling cascade has been previously demonstrated in Drosophila. This study shows that treatment with a PI3K-activating transduction peptide is able to promote synaptogenesis and spinogenesis in primary cultures of rat hippocampal neurons, as well as in CA1 hippocampal neurons in vivo. In culture, the peptide increases synapse density independently of cell density, culture age, dendritic complexity, or synapse type. The induced synapses also increase neurotransmitter release from cultured neurons. The synaptogenic signaling pathway includes PI3K-Akt. Furthermore, the treatment is effective on adult neurons, where it induces spinogenesis and enhances the cognitive behavior of treated animals in a fear-conditioning assay. These findings demonstrate that functional synaptogenesis can be induced in mature mammalian brains through PI3K activation.",2011,"Alberto Ferrús, Xavier Gasull, Lilian Enriquez-Barreto, Carmen Sandi, Marta Cantarero, Miguel Morales, Germán Cuesto, Cristina Caramés, Ángel Acebes"
Criteria of validity for animal models of psychiatric disorders: focus on anxiety disorders and depression,22738250,10.1186/2045-5380-1-9,"Animal models of psychiatric disorders are usually discussed with regard to three criteria first elaborated by Willner; face, predictive and construct validity. Here, we draw the history of these concepts and then try to redraw and refine these criteria, using the framework of the diathesis model of depression that has been proposed by several authors. We thus propose a set of five major criteria (with sub-categories for some of them); homological validity (including species validity and strain validity), pathogenic validity (including ontopathogenic validity and triggering validity), mechanistic validity, face validity (including ethological and biomarker validity) and predictive validity (including induction and remission validity). Homological validity requires that an adequate species and strain be chosen: considering species validity, primates will be considered to have a higher score than drosophila, and considering strains, a high stress reactivity in a strain scores higher than a low stress reactivity in another strain. Pathological validity corresponds to the fact that, in order to shape pathological characteristics, the organism has been manipulated both during the developmental period (for example, maternal separation: ontopathogenic validity) and during adulthood (for example, stress: triggering validity). Mechanistic validity corresponds to the fact that the cognitive (for example, cognitive bias) or biological mechanisms (such as dysfunction of the hormonal stress axis regulation) underlying the disorder are identical in both humans and animals. Face validity corresponds to the observable behavioral (ethological validity) or biological (biomarker validity) outcomes: for example anhedonic behavior (ethological validity) or elevated corticosterone (biomarker validity). Finally, predictive validity corresponds to the identity of the relationship between the triggering factor and the outcome (induction validity) and between the effects of the treatments on the two organisms (remission validity). The relevance of this framework is then discussed regarding various animal models of depression.",2011,"Catherine Belzung, Maël Lemoine"
