title,pmid,doi,abstract,year,authors
The spatial association of gene expression evolves from synchrony to asynchrony and stochasticity with age,21912663,10.1371/journal.pone.0024076,"For multicellular organisms, different tissues coordinate to integrate physiological functions, although this systematically and gradually declines in the aging process. Therefore, an association exists between tissue coordination and aging, and investigating the evolution of tissue coordination with age is of interest. In the past decade, both common and heterogeneous aging processes among tissues were extensively investigated. The results on spatial association of gene changes that determine lifespan appear complex and paradoxical. To reconcile observed commonality and heterogeneity of gene changes among tissues and to address evolution feature of tissue coordination with age, we introduced a new analytical strategy to systematically analyze genome-wide spatio-temporal gene expression profiles. We first applied the approach to natural aging process in three species (Rat, Mouse and Drosophila) and then to anti-aging process in Mouse. The results demonstrated that temporal gene expression alteration in different tissues experiences a progressive association evolution from spatial synchrony to asynchrony and stochasticity with age. This implies that tissue coordination gradually declines with age. Male mice showed earlier spatial asynchrony in gene expression than females, suggesting that male animals are more prone to aging than females. The confirmed anti-aging interventions (resveratrol and caloric restriction) enhanced tissue coordination, indicating their underlying anti-aging mechanism on multiple tissue levels. Further, functional analysis suggested asynchronous DNA/protein damage accumulation as well as asynchronous repair, modification and degradation of DNA/protein in tissues possibly contributes to asynchronous and stochastic changes of tissue microenvironment. This increased risk for a variety of age-related diseases such as neurodegeneration and cancer that eventually accelerate organismal aging and death. Our study suggests a novel molecular event occurring in aging process of multicellular species that may represent an intrinsic molecular mechanism of aging.",2011,"Jianhua Huang, Xinmin Zhang, Bin Wu, Qi Wang, Xiaoyu Liu, Ziyin Shen"
Formation of regulatory modules by local sequence duplication,21998564,10.1371/journal.pcbi.1002167,"Turnover of regulatory sequence and function is an important part of molecular evolution. But what are the modes of sequence evolution leading to rapid formation and loss of regulatory sites? Here we show that a large fraction of neighboring transcription factor binding sites in the fly genome have formed from a common sequence origin by local duplications. This mode of evolution is found to produce regulatory information: duplications can seed new sites in the neighborhood of existing sites. Duplicate seeds evolve subsequently by point mutations, often towards binding a different factor than their ancestral neighbor sites. These results are based on a statistical analysis of 346 cis-regulatory modules in the Drosophila melanogaster genome, and a comparison set of intergenic regulatory sequence in Saccharomyces cerevisiae. In fly regulatory modules, pairs of binding sites show significantly enhanced sequence similarity up to distances of about 50 bp. We analyze these data in terms of an evolutionary model with two distinct modes of site formation: (i) evolution from independent sequence origin and (ii) divergent evolution following duplication of a common ancestor sequence. Our results suggest that pervasive formation of binding sites by local sequence duplications distinguishes the complex regulatory architecture of higher eukaryotes from the simpler architecture of unicellular organisms.",2011,"Armita Nourmohammad, Michael Lässig"
Recombination-mediated genetic engineering of large genomic DNA transgenes,22065454,10.1007/978-1-61779-228-1_26,"Faithful gene activity reporters are a useful tool for evo-devo studies enabling selective introduction of specific loci between species and assaying the activity of large gene regulatory sequences. The use of large genomic constructs such as BACs and fosmids provides an efficient platform for exploration of gene function under endogenous regulatory control. Despite their large size they can be easily engineered using in vivo homologous recombination in Escherichia coli (recombineering). We have previously demonstrated that the efficiency and fidelity of recombineering are sufficient to allow high-throughput transgene engineering in liquid culture, and have successfully applied this approach in several model systems. Here, we present a detailed protocol for recombineering of BAC/fosmid transgenes for expression of fluorescent or affinity tagged proteins in Drosophila under endogenous in vivo regulatory control. The tag coding sequence is seamlessly recombineered into the genomic region contained in the BAC/fosmid clone, which is then integrated into the fly genome using ϕC31 recombination. This protocol can be easily adapted to other recombineering projects.",2011,"Andrei Pozniakovsky, Pavel Tomancak, Mihail Sarov, Peter Ahlfeld, Radoslaw Kamil Ejsmont, A Francis Stewart"
Deletion of Drosophila muscle LIM protein decreases flight muscle stiffness and power generation,21562304,10.1152/ajpcell.00206.2010,"Muscle LIM protein (MLP) can be found at the Z-disk of sarcomeres where it is hypothesized to be involved in sensing muscle stretch. Loss of murine MLP results in dilated cardiomyopathy, and mutations in human MLP lead to cardiac hypertrophy, indicating a critical role for MLP in maintaining normal cardiac function. Loss of MLP in Drosophila (mlp84B) also leads to muscle dysfunction, providing a model system to examine MLP's mechanism of action. Mlp84B-null flies that survive to adulthood are not able to fly or beat their wings. Transgenic expression of the mlp84B gene in the Mlp84B-null background rescues flight ability and restores wing beating ability. Mechanical analysis of skinned flight muscle fibers showed a 30% decrease in oscillatory power production and a slight increase in the frequency at which maximum power is generated for fibers lacking Mlp84B compared with rescued fibers. Mlp84B-null muscle fibers displayed a 25% decrease in passive, active, and rigor stiffness compared with rescued fibers, but no significant decrease in isometric tension generation was observed. Muscle ultrastructure of Mlp84B-null muscle fibers is grossly normal; however, the null fibers have a slight decrease, 11%, in thick filament number per unit cross-sectional area. Our data indicate that MLP contributes to muscle stiffness and is necessary for maximum work and power generation.",2011,"Heather Lesage-Horton, Douglas M Swank, Mary C Beckerle, Kathleen A Clark, Cuiping Zhao"
Epithelial homeostasis and the underlying molecular mechanisms in the gut of the insect model Drosophila melanogaster,21964927,10.1007/s00018-011-0828-x,"Insects mostly develop on decaying and contaminated organic matter and often serve as vectors of biologically transmitted diseases by transporting microorganisms to the plant and animal hosts. As such, insects are constantly ingesting microorganisms, a small fraction of which reach their epithelial surfaces, mainly their digestive tract, where they can establish relationships ranging from symbiosis to mutualism or even parasitism. Understanding the tight physical, genetic, and biochemical interactions that takes place between intestinal epithelia and either resident or infectious microbes has been a long-lasting objective of the immunologist. Research in this field has recently been re-vitalized with the development of deep sequencing techniques, which allow qualitative and quantitative characterization of gut microbiota. Interestingly, the recent identification of regenerative stem cells in the Drosophila gut together with the initial characterization of Drosophila gut microbiota have opened up new avenues of study aimed at understanding the mechanisms that regulate the dialog between the Drosophila gut epithelium and its microbiota of this insect model. The fact that some of the responses are conserved across species combined with the power of Drosophila genetics could make this organism model a useful tool to further elucidate some aspects of the interaction occurring between the microbiota and the human gut.",2011,Julien Royet
Detection of genetically altered copper levels in Drosophila tissues by synchrotron x-ray fluorescence microscopy,22053217,10.1371/journal.pone.0026867,"Tissue-specific manipulation of known copper transport genes in Drosophila tissues results in phenotypes that are presumably due to an alteration in copper levels in the targeted cells. However direct confirmation of this has to date been technically challenging. Measures of cellular copper content such as expression levels of copper-responsive genes or cuproenzyme activity levels, while useful, are indirect. First-generation copper-sensitive fluorophores show promise but currently lack the sensitivity required to detect subtle changes in copper levels. Moreover such techniques do not provide information regarding other relevant biometals such as zinc or iron. Traditional techniques for measuring elemental composition such as inductively coupled plasma mass spectroscopy are not sensitive enough for use with the small tissue amounts available in Drosophila research. Here we present synchrotron x-ray fluorescence microscopy analysis of two different Drosophila tissues, the larval wing imaginal disc, and sectioned adult fly heads and show that this technique can be used to detect changes in tissue copper levels caused by targeted manipulation of known copper homeostasis genes.",2011,"Daryl L Howard, Joab E C Hwang, David Paterson, Jessica C Lye, Martin D de Jonge, Richard Burke"
Pleiotropic consequences of misexpression of the developmentally active and stress-inducible non-coding hsrω gene in Drosophila,21654081,10.1007/s12038-011-9061-x,"The non-coding hsrω gene of Drosophila melanogaster is expressed in nearly all cell types and developmental stages. However, in the absence of conventional mutant alleles of this gene, its developmental functions remain largely unknown. In the present study, we used a variety of GAL4 drivers to overexpress or ablate this gene’s transcripts in specific tissues and examined the developmental consequences thereof. Our results show that a balanced expression of these non-coding transcripts is critical for survival and normal development in all the tissue types tested, since any change in cellular levels of these transcripts in a given cell type generally has detrimental effects, with extreme cases resulting in organismal lethality, although in a few cases the misexpression of these transcripts also suppresses the mutant phenotype due to other genetic conditions. Evidence is also presented for existence of a new spliced variant of the hsrω-n nuclear transcript. Following the RNAi-mediated down-regulation of hsrω transcripts, the omega speckles disappear so that the nucleoplasmic hnRNPs get diffusely distributed, while upregulation of these transcripts results in greater sequestration of these proteins into omega speckle clusters; either of these conditions would affect activities of the hnRNPs and other hsrω-RNA interacting proteins, which is likely to have cascading consequences. The present findings, together with our earlier observations on effects of altered levels of the hsrω transcripts on induced apoptosis and expanded polyQ-mediated neurodegeneration, further confirm that ncRNA species like the hsrω, far from being evolutionary hangovers, provide critical information for important functions in normal cells.",2011,"Subhash C Lakhotia, Moushami Mallik"
A screen for conditional growth suppressor genes identifies the Drosophila homolog of HD-PTP as a regulator of the oncoprotein Yorkie,21571226,10.1016/j.devcel.2011.04.012,"Mammalian cancers depend on ""multiple hits,"" some of which promote growth and some of which block apoptosis. We screened for mutations that require a synergistic block in apoptosis to promote tissue overgrowth and identified myopic (mop), the Drosophila homolog of the candidate tumor-suppressor and endosomal regulator His-domain protein tyrosine phosphatase (HD-PTP). We find that Myopic regulates the Salvador/Warts/Hippo (SWH) tumor suppressor pathway: Myopic PPxY motifs bind conserved residues in the WW domains of the transcriptional coactivator Yorkie, and Myopic colocalizes with Yorkie at endosomes. Myopic controls Yorkie endosomal association and protein levels, ultimately influencing expression of some Yorkie target genes. However, the antiapoptotic gene diap1 is not affected, which may explain the conditional nature of the myopic growth phenotype. These data establish Myopic as a Yorkie regulator and implicate Myopic-dependent association of Yorkie with endosomal compartments as a regulatory step in nuclear outputs of the SWH pathway.",2011,"Alexey Veraksa, Kenneth H Moberg, Marla Tipping, M Melissa Gilbert"
Self-maintained escort cells form a germline stem cell differentiation niche,22031542,10.1242/dev.067850,"Stem cell self-renewal is controlled by concerted actions of niche signals and intrinsic factors in a variety of systems. In the Drosophila ovary, germline stem cells (GSCs) in the niche continuously self-renew and generate differentiated germ cells that interact physically with escort cells (ECs). It has been proposed that escort stem cells (ESCs), which directly contact GSCs, generate differentiated ECs to maintain the EC population. However, it remains unclear whether the differentiation status of germ cells affects EC behavior and how the interaction between ECs and germ cells is regulated. In this study, we have found that ECs can undergo slow cell turnover regardless of their positions, and the lost cells are replenished by their neighboring ECs via self-duplication rather than via stem cells. ECs extend elaborate cellular processes that exhibit extensive interactions with differentiated germ cells. Interestingly, long cellular processes of ECs are absent when GSC progeny fail to differentiate, suggesting that differentiated germ cells are required for the formation or maintenance of EC cellular processes. Disruption of Rho functions leads to the disruption of long EC cellular processes and the accumulation of ill-differentiated single germ cells by increasing BMP signaling activity outside the GSC niche, and also causes gradual EC loss. Therefore, our findings indicate that ECs interact extensively with differentiated germ cells through their elaborate cellular processes and control proper germ cell differentiation. Here, we propose that ECs form a niche that controls GSC lineage differentiation and is maintained by a non-stem cell mechanism.",2011,"Ting Xie, Su Wang, Daniel Kirilly"
SFRPs act as negative modulators of ADAM10 to regulate retinal neurogenesis,21478884,10.1038/nn.2794,"It is well established that retinal neurogenesis in mouse embryos requires the activation of Notch signaling, but is independent of the Wnt signaling pathway. We found that genetic inactivation of Sfrp1 and Sfrp2, two postulated Wnt antagonists, perturbs retinal neurogenesis. In retinas from Sfrp1(-/-); Sfrp2(-/-) embryos, Notch signaling was transiently upregulated because Sfrps bind ADAM10 metalloprotease and downregulate its activity, an important step in Notch activation. The proteolysis of other ADAM10 substrates, including APP, was consistently altered in Sfrp mutants, whereas pharmacological inhibition of ADAM10 partially rescued the Sfrp1(-/-); Sfrp2(-/-) retinal phenotype. Conversely, ectopic Sfrp1 expression in the Drosophila wing imaginal disc prevented the expression of Notch targets, and this was restored by the coexpression of Kuzbanian, the Drosophila ADAM10 homolog. Together, these data indicate that Sfrps inhibit the ADAM10 metalloprotease, which might have important implications in pathological events, including cancer and Alzheimer's disease.",2011,"Maria Luisa Toribio, Carmen Ibañez, Isabel Guerrero, Pilar Esteve, Joaquin Arribas, Jordi Malapeira, Severine Marcos, Akihiko Shimono, Inmaculada Crespo, Sara Gonzalez-Garcia, Paola Bovolenta, Marcos Cardozo, Africa Sandonìs"
