title,pmid,doi,abstract,year,authors
Spiroplasma as a model insect endosymbiont,23761245,10.1111/j.1758-2229.2010.00240.x,"Members of the genus Spiroplasma are actively motile and helical bacteria of the class Mollicutes, which are associated with a variety of arthropods and plants. Some spiroplasmas cause female-biased sex ratios of their host insects as a result of selective death of the male offspring during embryogenesis. Several strains of male-killing spiroplasmas have been successfully transfected into Drosophila melanogaster by haemolymph injection and maintained in laboratory fly stocks. Spiroplasma-Drosophila endosymbiosis represents an ideal model system for analysing the molecular mechanisms underlying host-symbiont interactions. The infection dynamics exhibited by the symbiont within the host, the effects of external and environmental factors on the symbiotic association and symbiont interactions with the host's immune system have been investigated using this system. Comparisons between a male-killing Spiroplasma strain and its non-male-killing variant revealed that, in addition to different male-killing abilities, they also differed in infection dynamics and resistance to host innate immunity. It is currently unclear whether these different phenotypes are interconnected to each other. However, if so, such pleiotropy could facilitate our understanding of the genetic and molecular mechanisms of the endosymbiotic system.",2011,"Takema Fukatsu, Hisashi Anbutsu"
Multiple mechanisms collaborate to repress nanos translation in the Drosophila ovary and embryo,21460235,10.1261/rna.2478611,"Translational control of gene expression is essential for development in organisms that rely on maternal mRNAs. In Drosophila, translation of maternal nanos (nos) mRNA must be restricted to the posterior of the early embryo for proper patterning of the anterior-posterior axis. Spatial control of nos translation is coordinated through the localization of a small subset of nos mRNA to the posterior pole late in oogenesis, activation of this localized mRNA, and repression of the remaining unlocalized nos mRNA throughout the bulk cytoplasm. Translational repression is mediated by the interaction of a cis-acting element in the nos 3' untranslated region with two proteins, Glorund (Glo) and Smaug (Smg), that function in the oocyte and embryo, respectively. The mechanism of Glo-dependent repression is unknown. Previous work suggests that Smg represses translation initiation but this model is not easily reconciled with evidence for polysome association of repressed nos mRNA. Using an in vitro translation system, we have decoupled translational repression of nos imposed during oogenesis from repression during embryogenesis. Our results suggest that both Glo and Smg regulate translation initiation, but by different mechanisms. Furthermore, we show that, during late oogenesis, nos translation is also repressed post-initiation and provide evidence that Glo mediates this event. This post-initiation block is maintained into embryogenesis during the transition to Smg-dependent regulation. We propose that the use of multiple modes of repression ensures inactivation of nos RNA that is translated at earlier stages of oogenesis and maintenance of this inactivate state throughout late oogenesis into embryogenesis.",2011,"Elizabeth R Gavis, Ira E Clark, Shane Andrews, Danielle R Snowflack"
A Drosophila model for the Zellweger spectrum of peroxisome biogenesis disorders,21669930,10.1242/dmm.007419,"Human peroxisome biogenesis disorders are lethal genetic diseases in which abnormal peroxisome assembly compromises overall peroxisome and cellular function. Peroxisomes are ubiquitous membrane-bound organelles involved in several important biochemical processes, notably lipid metabolism and the use of reactive oxygen species for detoxification. Using cultured cells, we systematically characterized the peroxisome assembly phenotypes associated with dsRNA-mediated knockdown of 14 predicted Drosophila homologs of PEX genes (encoding peroxins; required for peroxisome assembly and linked to peroxisome biogenesis disorders), and confirmed that at least 13 of them are required for normal peroxisome assembly. We also demonstrate the relevance of Drosophila as a genetic model for the early developmental defects associated with the human peroxisome biogenesis disorders. Mutation of the PEX1 gene is the most common cause of peroxisome biogenesis disorders and is one of the causes of the most severe form of the disease, Zellweger syndrome. Inherited mutations in Drosophila Pex1 correlate with reproducible defects during early development. Notably, Pex1 mutant larvae exhibit abnormalities that are analogous to those exhibited by Zellweger syndrome patients, including developmental delay, poor feeding, severe structural abnormalities in the peripheral and central nervous systems, and early death. Finally, microarray analysis defined several clusters of genes whose expression varied significantly between wild-type and mutant larvae, implicating peroxisomal function in neuronal development, innate immunity, lipid and protein metabolism, gamete formation, and meiosis.",2011,"Sarah C Hughes, Andrew J Simmonds, Fred D Mast, Maninder K Virk, Richard A Rachubinski, Jing Li"
Global analysis of the relationship between JIL-1 kinase and transcription,21423663,10.1371/journal.pgen.1001327,"The ubiquitous tandem kinase JIL-1 is essential for Drosophila development. Its role in defining decondensed domains of larval polytene chromosomes is well established, but its involvement in transcription regulation has remained controversial. For a first comprehensive molecular characterisation of JIL-1, we generated a high-resolution, chromosome-wide interaction profile of the kinase in Drosophila cells and determined its role in transcription. JIL-1 binds active genes along their entire length. The presence of the kinase is not proportional to average transcription levels or polymerase density. Comparison of JIL-1 association with elongating RNA polymerase and a variety of histone modifications suggests two distinct targeting principles. A basal level of JIL-1 binding can be defined that correlates best with the methylation of histone H3 at lysine 36, a mark that is placed co-transcriptionally. The additional acetylation of H4K16 defines a second state characterised by approximately twofold elevated JIL-1 levels, which is particularly prominent on the dosage-compensated male X chromosome. Phosphorylation of the histone H3 N-terminus by JIL-1 in vitro is compatible with other tail modifications. In vivo, phosphorylation of H3 at serine 10, together with acetylation at lysine 14, creates a composite histone mark that is enriched at JIL-1 binding regions. Its depletion by RNA interference leads to a modest, but significant, decrease of transcription from the male X chromosome. Collectively, the results suggest that JIL-1 participates in a complex histone modification network that characterises active, decondensed chromatin. We hypothesise that one specific role of JIL-1 may be to reinforce, rather than to establish, the status of active chromatin through the phosphorylation of histone H3 at serine 10.",2011,"Viola Fabian, Angelika Mitterweger, Ina K Dahlsveen, Tobias Straub, Peter B Becker, Catherine Regnard"
Differential regulation of transcription through distinct Suppressor of Hairless DNA binding site architectures during Notch signaling in proneural clusters,21041480,10.1128/MCB.00003-10,"In Drosophila melanogaster, achaete (ac) and m8 are model basic helix-loop-helix activator (bHLH A) and repressor genes, respectively, that have the opposite cell expression pattern in proneural clusters during Notch signaling. Previous studies have shown that activation of m8 transcription in specific cells within proneural clusters by Notch signaling is programmed by a ""combinatorial"" and ""architectural"" DNA transcription code containing binding sites for the Su(H) and proneural bHLH A proteins. Here we show the novel result that the ac promoter contains a similar combinatorial code of Su(H) and bHLH A binding sites but contains a different Su(H) site architectural code that does not mediate activation during Notch signaling, thus programming a cell expression pattern opposite that of m8 in proneural clusters.",2011,"John W Cave, Michael Caudy, Li Xia"
A novel function for the PAR complex in subcellular morphogenesis of tracheal terminal cells in Drosophila melanogaster,21750259,10.1534/genetics.111.130351,"The processes that generate cellular morphology are not well understood. To investigate this problem, we use Drosophila melanogaster tracheal terminal cells, which undergo two distinct morphogenetic processes: subcellular branching morphogenesis and subcellular apical lumen formation. Here we show these processes are regulated by components of the PAR-polarity complex. This complex, composed of the proteins Par-6, Bazooka (Par-3), aPKC, and Cdc42, is best known for roles in asymmetric cell division and apical/basal polarity. We find Par-6, Bazooka, and aPKC, as well as known interactions between them, are required for subcellular branch initiation, but not for branch outgrowth. By analysis of single and double mutants, and isolation of two novel alleles of Par-6, one of which specifically truncates the Par-6 PDZ domain, we conclude that dynamic interactions between apical PAR-complex members control the branching pattern of terminal cells. These data suggest that canonical apical PAR-complex activity is required for subcellular branching morphogenesis. In addition, we find the PAR proteins are downstream of the FGF pathway that controls terminal cell branching. In contrast, we find that while Par-6 and aPKC are both required for subcellular lumen formation, neither Bazooka nor a direct interaction between Par-6 and aPKC is needed for this process. Thus a novel, noncanonical role for the polarity proteins Par-6 and aPKC is used in formation of this subcellular apical compartment. Our results demonstrate that proteins from the PAR complex can be deployed independently within a single cell to control two different morphogenetic processes.",2011,"Tiffani A Jones, Mark M Metzstein"
The kynurenine pathway modulates neurodegeneration in a Drosophila model of Huntington's disease,21636279,10.1016/j.cub.2011.04.028,"Neuroactive metabolites of the kynurenine pathway (KP) of tryptophan degradation have been implicated in the pathophysiology of neurodegenerative disorders, including Huntington's disease (HD) [1]. A central hallmark of HD is neurodegeneration caused by a polyglutamine expansion in the huntingtin (htt) protein [2]. Here we exploit a transgenic Drosophila melanogaster model of HD to interrogate the therapeutic potential of KP manipulation. We observe that genetic and pharmacological inhibition of kynurenine 3-monooxygenase (KMO) increases levels of the neuroprotective metabolite kynurenic acid (KYNA) relative to the neurotoxic metabolite 3-hydroxykynurenine (3-HK) and ameliorates neurodegeneration. We also find that genetic inhibition of tryptophan 2,3-dioxygenase (TDO), the first and rate-limiting step in the pathway, leads to a similar neuroprotective shift toward KYNA synthesis. Importantly, we demonstrate that the feeding of KYNA and 3-HK to HD model flies directly modulates neurodegeneration, underscoring the causative nature of these metabolites. This study provides the first genetic evidence that inhibition of KMO and TDO activity protects against neurodegenerative disease in an animal model, indicating that strategies targeted at two key points within the KP may have therapeutic relevance in HD, and possibly other neurodegenerative disorders.",2011,"Korrapati V Sathyasaikumar, Robert Schwarcz, Edward W Green, Carlo Breda, Susanna Campesan, Charalambos P Kyriacou, Flaviano Giorgini, Paul J Muchowski"
The autism candidate gene Neurobeachin encodes a scaffolding protein implicated in membrane trafficking and signaling,21375492,10.2174/156652411795243432,"Autism is a developmental disorder of the central nervous system characterized by impairments in social interaction, communication and restricted repetitive and stereotyped behavior. It is generally assumed that in most cases autism has a polygenic cause, but the pathogenesis is still unknown. Neurobeachin (NBEA) has recently been identified as a candidate gene for autism in a patient with a de novo chromosomal translocation and three patients with a monoallelic deletion. This multidomain scaffolding protein has been suggested to be involved in neuronal post-Golgi membrane traffic. Knockout of Nbea in two independent mouse models has demonstrated a role in neurotransmitter release and synaptic functioning. Knockdown in a cell line has shown a role as negative regulator of secretion of large dense-core vesicles (LDCVs) and haploinsufficiency in blood platelets results in dense granules with an aberrant morphology. A potential role in vesicle transport is further supported by a study of SEL-2, the C.elegans homologue of NBEA. This protein was identified as a negative regulator of LIN-12/Notch activity, probably due to defects in endosomal trafficking. Members of the Notch pathway have also been shown to be modifiers of the NBEA homologue in Drosophila, rugose. These new insights in the function of NBEA may help identifying novel pathways affected in autistic patients. In particular, it suggests that impaired functionality of LDCVs, which contain neurotrophins, neuropeptides and monoamines, might contribute to the pathogenesis of autism in at least a subgroup of patients.",2011,"J W M Creemers, K Nuytens, K Volders"
"NEDD9 and BCAR1 negatively regulate E-cadherin membrane localization, and promote E-cadherin degradation",21765937,10.1371/journal.pone.0022102,"The Cas scaffolding proteins (NEDD9/HEF1/CAS-L, BCAR1/p130Cas, EFSSIN, and HEPL/CASS4) regulate cell migration, division and survival, and are often deregulated in cancer. High BCAR1 expression is linked to poor prognosis in breast cancer patients, while upregulation of NEDD9 contributes to the metastatic behavior of melanoma and glioblastoma cells. Our recent work knocking out the single Drosophila Cas protein, Dcas, identified a genetic interaction with E-cadherin. As E-cadherin is often downregulated during epithelial-mesenchymal transition (EMT) prior to metastasis, if such an activity was conserved in mammals it might partially explain how Cas proteins promote aggressive tumor behavior. We here establish that Cas proteins negatively regulate E-cadherin expression in human mammary cells. Cas proteins do not affect E-cadherin transcription, but rather, BCAR1 and NEDD9 signal through SRC to promote E-cadherin removal from the cell membrane and lysosomal degradation. We also find mammary tumors arising in MMTV-polyoma virus T-antigen mice have enhanced junctional E-cadherin in a Nedd9(-/-) background. Cumulatively, these results suggest a new role for Cas proteins in cell-cell adhesion signaling in cancer.",2011,"Nadezhda Tikhmyanova, Erica A Golemis"
Apple polyphenols extend the mean lifespan of Drosophila melanogaster,21319854,10.1021/jf1046267,"Apple polyphenols (AP) are an excellent source of dietary antioxidants. The present study investigated the effect of AP on the lifespan of fruit flies and their interaction with gene expressions of superoxide dismutase (SOD), catalase (CAT), methuselah (MTH), Rpn11, and cytochrome c oxidase (CcO) subunits III and VIb. Results showed the mean lifespan was significantly extended by 10% in fruit flies fed the AP diet. This was accompanied by up-regulation of genes SOD1, SOD2, and CAT and down-regulation of MTH in the aged fruit flies. Paraquat and H(2)O(2) challenge tests demonstrated that AP prolonged the survival time only for Oregon R wild type flies but not for SOD(n108) or Cat(n1) mutants, in which either SOD or CAT was knocked out. Chronic paraquat exposure could shorten the maximum lifespan from 68 to 31 days and reduce the climbing ability by 60%, whereas AP could partially reverse the paraquat-induced mortality and decline in climbing ability. AP could up-regulate Rpn11 at day 30, whereas it appeared to have no significant effect on gene expression of ubiquitinated protein, CcO subunits III and VIb. These AP-induced changes were unlikely associated with caloric restriction as the gustatory assay found no difference in average body weight and stomach redness index between the control and AP fruit flies. It was therefore concluded that the antiaging activity of AP was, at least in part, mediated by its interaction with genes SOD, CAT, MTH, and Rpn11.",2011,"Zhen-Yu Chen, Ho Yin Edwin Chan, Cheng Peng, Yu Huang, Hongjian Yu"
